id,prompt,A,B,C,D,E,answer
2209,What is the population of Sapeira as of 2020?,The population of Sapeira as of 2020 is 50.,The population of Sapeira as of 2020 is 300.,The population of Sapeira as of 2020 is 10.,The population of Sapeira as of 2020 is 4.,The population of Sapeira as of 2020 is 1000.,D
2210,"What is the name of the company that owns and operates WTKS-FM, a commercial radio station in Cocoa Beach, Florida?",Entercom Communications Corp.,SiriusXM Radio,Spotify,"iHeartMedia, Inc.",Cumulus Media Inc.,D
2211,Who is the goddess worshipped at Belha Devi Temple in Bela Pratapgarh?,"The goddess worshipped at Belha Devi Temple is Lakshmi, the goddess of wealth and prosperity.","The goddess worshipped at Belha Devi Temple is Kali, the fierce and powerful goddess of time and destruction.","The goddess worshipped at Belha Devi Temple is Durga, the goddess of power and protection.","The goddess worshipped at Belha Devi Temple is Saraswati, the goddess of knowledge, music, and art.","The goddess worshipped at Belha Devi Temple is Belha, the local incarnation of the Devi.",E
2212,How can Rhodium acetylacetonate be described based on its physical properties?,Rhodium acetylacetonate is a colorless gas that is highly reactive with water.,Rhodium acetylacetonate is a blue liquid that is insoluble in organic solvents.,Rhodium acetylacetonate is a yellow-orange solid that is soluble in organic solvents.,Rhodium acetylacetonate is a white powder that is insoluble in any solvents.,Rhodium acetylacetonate is a green solid that is soluble in water.,C
2213,"What is the significance of La Folletière-Abenon in the context of the Calvados department in Normandy, France?","La Folletière-Abenon is a major tourist destination in Normandy, known for its historical landmarks and cultural festivals.","La Folletière-Abenon is an important industrial center in Normandy, specializing in agricultural machinery production.","La Folletière-Abenon is a small commune located in the Calvados department of Normandy, France.","La Folletière-Abenon is a renowned culinary hub in Normandy, famous for its local cheese and cider production.","La Folletière-Abenon is a strategic military base in Normandy, serving as a key defense outpost.",C
2214,"What is the significance of George Winston's album ""Forest""?",It is a concept album inspired by nature and wildlife.,It was reissued on Dancing Cat Records in 2008 and won the 1996 Grammy Award for Best New Age Album.,"The album was certified Platinum by the RIAA on December 21, 1994.",It is the fifth album of George Winston and his fourth solo piano album.,It is George Winston's first album that features collaborations with other musicians.,B
2215,"What is the primary focus of the documentary film ""The Dissident"" directed by Bryan Fogel?",The investigation into the assassination of Jamal Khashoggi.,The exploration of political dissent in various countries worldwide.,Saudi Arabia's oil industry and its impact on global economy.,The historical background of Saudi Arabia's political landscape.,The efforts of international human rights organizations.,A
2216,What was Henry Northey Hooper known for?,Henry Northey Hooper was known for designing and manufacturing intricate clockwork mechanisms for Swiss watches.,Henry Northey Hooper was known for his invention of a revolutionary textile loom that increased the efficiency of cloth production.,Henry Northey Hooper was known for founding an influential publishing company that produced bestselling novels.,"Henry Northey Hooper was known for manufacturing and selling decorative lighting, Civil War artillery, bells, and chimes.",Henry Northey Hooper was known for his role as a civil engineer in constructing the first transcontinental railroad in the United States.,D
2217,"Who created William Bourchier, 1st Count of Eu, in Normandy?",William of Normandy,King Henry V,Eleanor of Aquitaine,Pope Urban II,Richard I of England,B
2218,What was the outcome of the sinking of the Bulgaria cruise ship in 2011?,"The sinking of the Bulgaria cruise ship resulted in significant damage to the ship, but all individuals aboard survived.","The sinking of the Bulgaria cruise ship resulted in minor injuries for the passengers and crew, with no fatalities reported.","The sinking of the Bulgaria cruise ship resulted in the death of 122 individuals, as confirmed by authorities.","The sinking of the Bulgaria cruise ship resulted in the disappearance of 201 passengers and crew members, with no trace found.",The sinking of the Bulgaria cruise ship resulted in the successful rescue of all 201 passengers and crew members.,C
2219,"Who is the current owner of the Davidkhanian Mansion in Qazvin, Iran?",The Davidkhanian family.,The estate is currently unowned.,The municipality of Qazvin.,The National Heritage Organization of Iran.,The Iranian government.,E
2220,When was Holliwell Bridge built?,Holliwell Bridge was built in 1880 by Andrew Holliwell.,Holliwell Bridge was built in 1879 by Andrew Holliwell.,Holliwell Bridge was built in 1880 by Benton Jones.,Holliwell Bridge was built in 1879 by Benton Jones.,Holliwell Bridge was built in 1881 by John Madison.,C
2221,In which Mexican state is the statue of Leonardo Oliva located?,Guanajuato,Jalisco,Oaxaca,Chiapas,Veracruz,B
2222,What is the historical significance of Folly Pier on the Isle of Portland?,Folly Pier is a disused stone shipping quay that dates back to the 17th century and can be found on the east side of the Isle of Portland.,Folly Pier is an active stone shipping quay that continues to be used for shipping purposes to this day.,"Folly Pier is one of the most recent additions to the piers in the East Weares area, having been built in the 19th century.",Folly Pier is a popular tourist attraction on the Jurassic Coast where visitors can enjoy recreational activities such as fishing and boating.,Folly Pier is a well-known historical landmark on the Isle of Portland that previously served as a dock for naval vessels.,A
2223,What is Downingia elegans?,"Downingia elegans is a species of flowering plants in the sunflower family known by the common names elegant calicoflower and Californian lobelia. This showy wildflower is native to western North America from California to British Columbia, where it is a resident of meadows and vernal pool ecosystems.","Downingia elegans is a species of flowering plants in the aster family known by the common names elegant calicoflower and Californian lobelia. This showy wildflower is native to western North America from California to British Columbia, where it is a resident of meadows and vernal pool ecosystems.","Downingia elegans is a species of flowering plants in the rose family known by the common names elegant calicoflower and Californian lobelia. This showy wildflower is native to western North America from California to British Columbia, where it is a resident of meadows and vernal pool ecosystems.","Downingia elegans is a species of flowering plants in the bellflower family known by the common names elegant calicoflower and Californian lobelia. This showy wildflower is native to western North America from California to British Columbia, where it is a resident of meadows and vernal pool ecosystems.","Downingia elegans is a species of flowering plants in the daisy family known by the common names elegant calicoflower and Californian lobelia. This showy wildflower is native to western North America from California to British Columbia, where it is a resident of meadows and vernal pool ecosystems.",D
2224,"What is the reason for controversy surrounding the first episode of the television series ""Merseybeat""?","The series had an ensemble cast, led by Haydn Gwynne as Superintendent Susan Blake.",The murder of James Bulger was similar to the plot of the episode.,The episode aired on 16 July 2001 on BBC One.,The series follows the personal and professional lives of police officers.,BBC bosses defended the series against any association with the case of James Bulger.,B
2225,What is Tentai Show?,A dance style,A musical instrument,A type of flower arrangement,A logic puzzle,A type of game played with cards,D
2226,"What is the approximate size of Artemis, a lunar impact crater located in the Mare Imbrium?","Medium, approximately half the size of the craters Euler and Lambert.","Extremely small, barely visible on the Moon's surface.","Large, similar in size to the craters Euler and Lambert.","Very small, only a few kilometers in diameter.","Small, about one-tenth the size of the craters Euler and Lambert.",D
2227,How did William George Bowman contribute to Major League Baseball?,He was a coach for the Chicago Colts in 1891.,He was a manager for the Chicago Colts in 1891.,He was a catcher for the Chicago Colts in 1891.,He was a pitcher for the Chicago Colts in 1891.,He was an umpire for the Chicago Colts in 1891.,C
2228,"What features are available at Alexander Clark Park, Loganholme in Queensland, Australia?","Walking and cycling paths, wheelchair access, dog off-leash areas, picnic tables and barbecues, children playgrounds, swimming pools, and riverside pontoons.","Walking and cycling paths, wheelchair access, dog off-leash areas, picnic tables and barbecues, children playgrounds, fitness equipment, and riverside pontoons.","Walking and cycling paths, wheelchair access, dog off-leash areas, picnic tables and barbecues, children playgrounds, tennis courts, and riverside pontoons.","Walking and cycling paths, wheelchair access, dog off-leash areas, picnic tables and barbecues, children playgrounds, football fields, and riverside pontoons.","Walking and cycling paths, wheelchair access, dog off-leash areas, picnic tables and barbecues, children playgrounds, fitness equipment, and skateboarding ramps.",B
2229,What was Charles-François Panard known for?,"Charles-François Panard was known as a prominent 18th-century French poet and playwright, revered for his mastery of wordplay and wit.","Charles-François Panard was known for his contributions to the field of medicine, particularly in the study of infectious diseases.","Charles-François Panard was known as a pioneer in the field of mechanical engineering, inventing several innovative machines and devices.","Charles-François Panard was known as a leading figure in the field of psychology, developing influential theories on human behavior and cognition.","Charles-François Panard was known for his achievements in the field of astrophysics, making significant discoveries about the formation of galaxies.",A
2230,"Why did Ernst L. Freud add the initial ""L."" to his name?",As a personal preference for the name Lucien.,To indicate his German heritage.,"As a tribute to his father, Ludwig Freud.",To pay tribute to his mentor Ludwig.,In honour of his wife Lucie.,E
2231,What was the estimated number of ethnic Chinese survivors of the 1740 Batavia massacre?,"Over 10,000","Between 600 and 3,000","Around 5,000",None of the above,Approximately 500,B
2232,"What is the significance of the 1924 American silent mystery film ""Great Diamond Mystery"" directed by Denison Clift?",It was the first American film to be entirely silent.,It starred Harry von Meter as the main antagonist.,It is considered a landmark film in the development of the mystery genre.,It featured Jackie Saunders in the leading role.,It marked the beginning of Shirley Mason's acting career.,C
2233,What is Keisuke Tsumura's political affiliation?,Keisuke Tsumura is a Japanese politician serving in the House of Representatives in the Diet as a member of the Japanese Communist Party (JCP). ,Keisuke Tsumura is a Japanese politician serving as an independent in the House of Representatives in the Diet.,Keisuke Tsumura is a Japanese politician serving in the House of Representatives in the Diet as a member of the Democratic Party (DP). ,Keisuke Tsumura is a Japanese politician serving in the House of Representatives in the Diet as a member of the Liberal Democratic Party (LDP). ,Keisuke Tsumura is a Japanese politician serving in the House of Representatives in the Diet as a member of the Democratic Party for the People (DPP). ,E
2234,What is the purpose of Red Dead Redemption: Undead Nightmare expansion pack?,"It provides experimental features and gameplay mechanics, allowing players to try out unique approaches in the open world Western action-adventure game.",It expands the base game's storyline by introducing a new protagonist and exploring the wild west in a different era.,"It introduces a new zombie horror-themed single-player campaign and additional multiplayer modes to the base game, along with cosmetic enhancements.",It offers a new set of challenges and achievements for players to conquer in the base game.,It adds new weapons and upgrade options for the players to enhance their gameplay experience in the base game.,C
2235,What is the significance of NGC 2525 in astronomy?,NGC 2525 is a dwarf galaxy located in the constellation Puppis.,NGC 2525 is a supernova remnant located in the constellation Puppis.,NGC 2525 is a planetary nebula located in the constellation Puppis.,NGC 2525 is a barred spiral galaxy located in the constellation Puppis.,NGC 2525 is a globular cluster located in the constellation Puppis.,D
2236,"What is the primary means of transportation for suburban services in the Sapporo area of Hokkaido, Japan?",The 733 series,The Doppler effect,Kepler's laws,The Higgs boson,Modified Newtonian dynamics,A
2237,What is the description of Rydell & Quick's music style according to their first album?,"It was described as a blend of heavy metal and punk rock, featuring aggressive guitar riffs and energetic drumming.","Their music style was characterized as soulful and bluesy, incorporating smooth vocals and soulful saxophone melodies.","Rydell & Quick's music style was described as experimental and avant-garde, combining elements of rock with electronic and classical music.","Their music style was characterized by fast-paced and aggressive punk rock, with politically charged lyrics and intense live performances.","It was described as catchy, feel-good, melodic hard rock, featuring memorable hooks and sing-along choruses.",E
2238,Where is Mimbaste located?,Mimbaste is a commune in the Landes department in Nouvelle-Aquitaine in south-western France.,Mimbaste is a commune in the Landes department in Brittany in northwestern France.,Mimbaste is a commune in the Pyrénées-Atlantiques department in Nouvelle-Aquitaine in northwestern France.,Mimbaste is a commune in the Hautes-Pyrénées department in Occitanie in southwestern France.,Mimbaste is a commune in the Pyrénées-Atlantiques department in Occitanie in south-western France.,A
2239,How did Aristarchus of Samothrace contribute to the field of Homeric poetry?,He was the most influential of all scholars of Homeric poetry and the head librarian of the Library of Alexandria.,He was the most influential scholar of Greek grammar and poetry during ancient times.,He was primarily known for his research on ancient Greek literature and rhetoric.,He succeeded his teacher Aristophanes of Byzantium as the head librarian of the Library of Alexandria.,He was a renowned philosopher who extensively studied the works of Homer.,A
2240,"What is the geographical feature located in Las Perlas, Argentina?","Las Perlas is a village in the north-west of Río Negro Province in Argentina, at the shore of the Río Limay.","Las Perlas is a village in the north-west of Río Negro Province in Argentina, surrounded by dense forests.","Las Perlas is a village in the north-west of Río Negro Province in Argentina, situated on a mountain summit.","Las Perlas is a village in the north-west of Río Negro Province in Argentina, known for its vast plains.","Las Perlas is a village in the north-west of Río Negro Province in Argentina, located on an island in the Río Limay.",A
2241,"How is Hobrede, a village in the Dutch province of North Holland, related to the municipality of Edam-Volendam?",Hobrede used to be a separate municipality but was later incorporated into Edam-Volendam.,Hobrede is a neighboring village of Edam-Volendam and has historical ties to the municipality.,Hobrede is geographically located within the boundaries of Edam-Volendam.,Hobrede is a popular tourist destination within the municipality of Edam-Volendam.,Hobrede has no direct relationship with the municipality of Edam-Volendam.,A
2242,"What was the fate of the Portland Fire, a professional basketball team in the Women's National Basketball Association (WNBA)?",They folded and ceased to exist after the 2002 season.,They changed their team name to the Portland Trail Blazers after the 2002 season.,They won the WNBA championship in their third season.,They relocated to a different city after the 2002 season.,They were the first-ever WNBA team to make the playoffs.,A
2243,"What is the primary purpose of St Patrick's Church in Adelaide, South Australia?",To host weddings and other religious ceremonies in various languages.,To provide services in English and other foreign languages.,To replace the original St. Patrick's church in Adelaide.,To primarily cater to the Portuguese and Croatian communities in Adelaide.,To serve as a heritage-listed Roman Catholic church since 1914.,E
2244,"What is the historical significance of the Allegheny County Mortuary located in Pittsburgh, Pennsylvania?","The Allegheny County Mortuary is notable for its central location in downtown Pittsburgh, making it easily accessible for funeral processions and mourners coming from different areas of the city.","The Allegheny County Mortuary is listed on the National Register of Historic Places, highlighting its architectural and historical significance.",The Allegheny County Mortuary is recognized as a national landmark due to its cultural and historical importance to the city of Pittsburgh.,The Allegheny County Mortuary is a significant example of Gothic Revival architecture and serves as a prime example of funeral home design in the early 20th century.,The Allegheny County Mortuary is the oldest existing mortuary in Pittsburgh and is renowned for its contributions to the funeral service industry.,B
2245,In which year did Walter Waldemar Wallberg win gold in the men's moguls competition at the Winter Olympics?,Walter Waldemar Wallberg won gold in the Beijing 2024 Winter Olympics men's moguls with a score of 83.23.,Walter Waldemar Wallberg never won gold in the Winter Olympics men's moguls competition.,Walter Waldemar Wallberg won gold in the Beijing 2026 Winter Olympics men's moguls with a score of 83.23.,Walter Waldemar Wallberg won gold in the Beijing 2018 Winter Olympics men's moguls with a score of 83.23.,Walter Waldemar Wallberg won gold in the Beijing 2022 Winter Olympics men's moguls with a score of 83.23.,D
2246,What is the Roche limit?,The Roche limit is the distance at which tidal effects would cause a planet to disintegrate since differential force from an object overcomes the planet's core.,The Roche limit is the distance at which tidal effects would cause an object to unite since differential force from a planet results in parts becoming attracted to one another.,The Roche limit is the distance at which tidal effects would cause an object to disintegrate since differential force from a planet overcomes the attraction of the parts between them.,The Roche limit is the distance at which tidal effects would cause an object to rotate since the forces exerted by two massive bodies produce a torque on a third object.,"The Roche limit is the distance at which tidal effects would cause an object to break apart due to differential force from the planet overcoming the attraction of the parts of the object for one another, which depends on the object's density and composition, as well as the mass and size of the planet.",E
2247,"What is a common theme showcased in the reality television series ""Say Yes to the Dress""?",The wide range of budget-friendly options available at Kleinfeld Bridal.,The intricate designs and embellishments of wedding dresses sold at Kleinfeld Bridal.,The process of wedding gown alterations and fittings at Kleinfeld Bridal.,The influence of celebrity fashion trends on wedding dress styles and designs.,The emotional and personal journey of brides as they search for their perfect wedding dress.,E
2248,"What is the distribution of Modiolus americanus, or the tulip mussel, along the Atlantic coast of North America?","Modiolus americanus is found along the Atlantic coast of North America, ranging from North Carolina to the West Indies.","Modiolus americanus is found along the Atlantic coast of North America, ranging from Nova Scotia to South Carolina.","Modiolus americanus is found along the Atlantic coast of North America, ranging from New England to the Bahamas.","Modiolus americanus is found along the Atlantic coast of North America, ranging from Maine to Florida.","Modiolus americanus is found along the Atlantic coast of North America, ranging from Newfoundland to the Caribbean.",A
2249,What happened to the show 106 & Park after it was cancelled?,"The show continued to air in a digital-only format, with occasional specials during network event programming.",The show was revived and continued to air on BET with a new host.,The show transitioned into a radio show on a different network.,The show was picked up by a different television network and continued its run.,The show was completely discontinued and never aired again in any form.,A
2250,What was one of the major contributions of Hettie Blonde Tilghman in the late 19th-century and early 20th-century?,Hettie Blonde Tilghman campaigned for the suffrage movement and Women's rights in the Bay Area.,Hettie Blonde Tilghman was instrumental in establishing public libraries and promoting literacy in Oakland.,Hettie Blonde Tilghman was known for her contributions to the industrial labor movement in the Bay Area.,Hettie Blonde Tilghman spearheaded the conservation efforts for the preservation of natural habitats in the East Bay.,"Hettie Blonde Tilghman played a vital role in advocating for immigrants' rights in Oakland, California.",A
2251,Which club does Jeong Woo-yeong play for in the Bundesliga?,VfB Stuttgart,Bayer Leverkusen,FC Bayern Munich,RB Leipzig,Borussia Dortmund,A
2252,What is the significance of the film Teen Wolf's filming period?,"The filming period of Teen Wolf is significant because it occurred over a relatively short period of time, indicating efficient production and a well-organized crew.","The filming period of Teen Wolf is significant because it coincided with the release of the popular novel it was based on, ensuring its success at the box office.","The filming period of Teen Wolf is significant because it took place during the holiday season, resulting in a festive atmosphere on set.","The filming period of Teen Wolf is significant because it allowed the cast and crew to experience genuine winter weather conditions, enhancing the authenticity of the film's setting.","The filming period of Teen Wolf is significant because it was extended due to unforeseen challenges, leading to delays in the film's release schedule.",A
2253,"What is the primary role of the Independent Special Forces Battalion ""Fulger"" based in Chisinau?",The battalion primarily focuses on maritime operations and coastal defense.,The battalion primarily conducts counter-terrorism and special operations.,The battalion primarily specializes in mountain warfare and high-altitude operations.,The battalion primarily assists in border security and surveillance operations.,The battalion primarily serves as a rapid response unit for disaster relief efforts.,B
2254,What is the significance of Biratnagar City FC in Nepali football?,"Biratnagar City FC is renowned for its youth academy, developing and nurturing young talents for the Nepal Super League.",Biratnagar City FC is a franchise football club based in Biratnagar that competes in the Nepal Super League.,Biratnagar City FC is the defending champion of the Nepal Super League.,Biratnagar City FC is known for having the highest number of international players in the Nepal Super League.,"Biratnagar City FC is the oldest football club in Nepal, competing in the Nepal Super League since its inception.",B
2255,What is Yuki Kashiwagi's nickname?,Yukirin,Team B,Yuki,Kashiwagi,Ayaka Umeda,A
2256,What was Atišta formerly a part of?,The Ohrid Municipality,The Vraneštica Municipality,The Prilep Municipality,The Kičevo Municipality,The Gostivar Municipality,B
2257,What is the scientific name of the hackberry pubescent gall midge?,Celticecis midge,Cecidomyiidae pubescens,Celticecis pubescens,Cecidomyiidae,Gall Midge Cecidomyiidae,C
2258,What caused the crash of Linjeflyg Flight 618?,All twenty-two people on board the aircraft perished due to a mid-air collision with another aircraft.,"The accident was caused by atmospheric icing on the horizontal stabilizer, leading to a loss of pitch control and a steep dive.","The pilot committed an error in judgment, resulting in the aircraft descending too quickly and crashing.","The aircraft suffered from a structural failure, leading to the collapse of its wings and subsequent crash.","The aircraft experienced a catastrophic engine failure, causing it to lose control and crash.",B
2259,What is the historical significance of Hihifo Airport in Wallis and Futuna?,"Hihifo Airport is located near Mata-Utu, the capital city of Wallis and Futuna, making it a crucial transportation hub.","Hihifo Airport underwent major renovations in 1964, establishing it as a modern aviation facility.","Hihifo Airport is the oldest airport in Wallis and Futuna, dating back to its construction in March 1942 by Seabees as a bomber field.",Hihifo Airport served as the primary hub for international flights in Wallis and Futuna until it was upgraded in 1964.,Hihifo Airport played a key role in World War II as a strategic base for military operations in Wallis and Futuna.,C
2260,Where is the urban-type settlement of Ilyinsky located?,Near the town of Zhukovsky,Both A and B,Both A and C,17 kilometers southeast from Moscow,In a forested area,C
2261,What are the pitching statistics of Matthew Thomas DeSalvo in his major league debut with the New York Yankees?,Matthew Thomas DeSalvo went 6 innings in his major league debut with the New York Yankees.,Matthew Thomas DeSalvo gave up 2 hits in his major league debut with the New York Yankees.,Matthew Thomas DeSalvo went 8 innings in his major league debut with the New York Yankees.,Matthew Thomas DeSalvo gave up 4 hits in his major league debut with the New York Yankees.,Matthew Thomas DeSalvo gave up 1 hit in his major league debut with the New York Yankees.,B
2262,"What can be inferred about the album ""Two Tongues"" based on the provided Wikipedia excerpt?","""Two Tongues"" is a single by the supergroup Two Tongues, released on February 3, 2009.","""Two Tongues"" is a remix album featuring new versions of popular songs, released on February 3, 2009.","""Two Tongues"" is a live album recorded by the supergroup Two Tongues on February 3, 2009.","""Two Tongues"" is the first album by the supergroup Two Tongues, released on February 3, 2009.","""Two Tongues"" is a compilation album featuring various artists, released on February 3, 2009.",D
2263,When did Andrés Alfonso Giménez Osorio make his MLB debut?,Andrés Alfonso Giménez Osorio made his MLB debut in 2020 with the New York Mets.,Andrés Alfonso Giménez Osorio made his MLB debut in 2019 with the New York Mets.,Andrés Alfonso Giménez Osorio has not made his MLB debut yet.,Andrés Alfonso Giménez Osorio made his MLB debut in 2021 with the Cleveland Guardians.,Andrés Alfonso Giménez Osorio made his MLB debut in 2022 with the Cleveland Guardians.,A
2264,Which of the following statements accurately describes dammarane based on the provided Wikipedia excerpt?,"Dammarane is a tetracyclic terpenoid commonly found in the sapogenins of various palm trees. It was named after dammar resin, a resin obtained from specific palm species found in arid regions.","Dammarane is a tetracyclic triterpene commonly found in sapogenins like those of ginseng. The compound series was named after dammar resin, a natural resin obtained from tropical trees belonging to the Dipterocarp family.","Dammarane is a pentacyclic triterpene that is primarily found in the sapogenins of ginseng plants. It was first isolated from dammar resin, a resin derived from deciduous trees native to tropical rainforests.","Dammarane is a tetracyclic triterpene commonly found in the sapogenins of various plant families. It is named after dammar resin, a natural resin extracted from a specific species of pine tree found in temperate regions.","Dammarane is a pentacyclic terpenoid that is primarily found in the sapogenins of tropical trees. It was first isolated from dammar resin, a resinous product obtained from pine trees in the coniferous forests.",B
2265,What is the population of Peel Island according to the 2016 census?,Peel Island had a population of 0 people in the 2016 census.,"Peel Island had a population of 10,000 people in the 2016 census.","Peel Island had a population of 100,000 people in the 2016 census.","Peel Island had a population of 1,000 people in the 2016 census.",Peel Island had a population of 1 million people in the 2016 census.,A
2266,What is Heathen Songs?,"Heathen Songs is a compilation album featuring various artists, released in August 2004 and nationally on 7 February 2005 on the independent label Torn and Frayed and distributed by Reverberation Records.","Heathen Songs is a soundtrack album for a popular movie, released in August 2004 and nationally on 7 February 2005 on the independent label Torn and Frayed and distributed by Reverberation Records.","Heathen Songs is the second album from The Kill Devil Hills, released in August 2004 and nationally on 7 February 2005 on the independent label Torn and Frayed and distributed by Reverberation Records.","Heathen Songs is an EP (extended play) recording from The Kill Devil Hills, released in August 2004 and nationally on 7 February 2005 on the independent label Torn and Frayed and distributed by Reverberation Records.","Heathen Songs is the debut album from The Kill Devil Hills, released in August 2004 and nationally on 7 February 2005 on the independent label Torn and Frayed and distributed by Reverberation Records.",E
2267,Which physical properties are attributed to platinum(II) iodide?,"Platinum(II) iodide has a high degree of chemical stability, allowing it to be used as a catalyst in various chemical reactions.","Platinum(II) iodide is a transparent compound with excellent optical properties, making it suitable for use in lenses and optical devices.","Platinum(II) iodide has a low density and high tensile strength, making it suitable for lightweight structural applications.","Platinum(II) iodide has high electrical conductivity, making it a promising material for electronic applications.","Platinum(II) iodide exhibits magnetic properties at low temperatures, making it useful in magnetic data storage devices.",A
2268,How is Eqrem Bey Vlora described?,Eqrem Bey Vlora was a wealthy landowner who played a pivotal role in the establishment of agrarian reforms in Albania.,Eqrem Bey Vlora was a respected religious leader who worked towards promoting interfaith dialogue in Albania.,Eqrem Bey Vlora was a prominent figure in Albanian literature and an influential political leader during the early 20th century.,Eqrem Bey Vlora was a delegate to the Assembly of Vlorë and a key contributor to the proclamation of the Albanian Declaration of Independence.,Eqrem Bey Vlora was a renowned military strategist known for his instrumental role in the Albanian resistance against Ottoman rule.,D
2269,What is the geographical location of Sailly-Saillisel?,It is positioned in the Normandy region of France.,It is located in the Occitanie region of France.,It is found in the Provence-Alpes-Côte d'Azur region of France.,It is situated in the Somme department of France.,It is located in the Alsace region of France.,D
2270,What is Reggie Barlow currently doing?,Reggie Barlow is currently playing as a wide receiver for the DC Defenders of the XFL.,Reggie Barlow is currently coaching the Tampa Bay Buccaneers in the NFL.,Reggie Barlow is currently serving as the head football coach at Virginia State University.,Reggie Barlow is currently the head coach and general manager for the DC Defenders of the XFL.,Reggie Barlow is currently coaching the Alabama State University football team.,D
2271,What is Hans Hateboer's current club in Serie A?,Hans Hateboer currently plays as a right-back for Serie A club Inter Milan.,Hans Hateboer currently plays as a right-back for Serie A club AC Milan.,Hans Hateboer currently plays as a right-back for Serie A club Bologna.,Hans Hateboer currently plays as a right-back for Serie A club Atalanta.,Hans Hateboer currently plays as a right-back for Serie A club Juventus.,D
2272,What is a Bible church?,"A Bible church is a type of Christian organization that emphasizes the Bible as its behavioral standard and focuses on the inerrancy of the Bible, regardless of whether it is non-denominational or affiliated with a specific denomination.","A Bible church is a type of Christian organization that emphasizes the Bible as its behavioral standard, but focuses on the inerrancy of the Quran. It is typically a type of evangelical Protestant church.",A Bible church is a type of Christian organization that emphasizes the Quran as its behavioral standard and focuses on the inerrancy of the Quran. It is typically a type of evangelical Protestant church.,"A Bible church is a type of Christian organization that emphasizes the Bible as its behavioral standard, but does not focus on the inerrancy of the Bible. It is typically a type of evangelical Protestant church.","A Bible church is a type of Christian organization that does not emphasize the Bible as its behavioral standard and does not focus on the inerrancy of the Bible, regardless of whether it is non-denominational or affiliated with a specific denomination.",A
2273,"What type of satellite was Explorer 40, based on the provided Wikipedia excerpt?",A communications satellite used for transmitting information between Earth and space.,"A navigational satellite used for determining position, velocity, and timing.",A reconnaissance satellite used for collecting information about Earth's surface.,A weather satellite used for monitoring and predicting weather patterns.,A magnetically aligned satellite that was launched in conjunction with another satellite.,E
2274,What happened to Fotballklubben Narvik/Nor in 1997?,Fotballklubben Narvik/Nor merged with junior partner FK Mjølner to form Narvik FK.,Fotballklubben Narvik/Nor was dissolved and ceased to exist as a football club.,Fotballklubben Narvik/Nor won the national championship.,Fotballklubben Narvik/Nor relocated to a different city.,Fotballklubben Narvik/Nor changed its name to Mjølner FK.,A
2275,What is the historical significance of Hosadurga in the Indian state of Karnataka?,Hosadurga is known for its exquisite architectural structures and ancient temples that have stood the test of time.,"Hosadurga played a significant role in the Indian independence movement, being the birthplace of several prominent freedom fighters.","Hosadurga is an important commercial hub, known for its thriving textile industry and bustling markets.","Hosadurga is renowned for its rich cultural heritage and vibrant folk traditions, attracting tourists from all over the world.","Hosadurga is famous for its locally made handicrafts and artifacts, showcasing the artistic skills of the region.",D
2276,"What is the main theme of the children's novel titled ""The Best Christmas Pageant Ever"" by Barbara Robinson?",The novel explores the life of a misfit family who learns the true meaning of Christmas through volunteering for a town's Christmas pageant.,The novel presents the hilarious and chaotic behind-the-scenes moments that occur during the preparation of a traditional Sunday school Christmas pageant.,"The novel recounts the story of a group of town misfit children who secure the lead roles in the Sunday school Christmas pageant, teaching the town the true meaning of Christmas in the process.",The novel provides a detailed description of the Sunday school Christmas pageant and its impact on the town's residents.,The novel follows the story of a religious town struggling with the true meaning of Christmas until the arrival of a mysterious family who brings a fresh perspective.,C
2277,When was İstanbul Efsaneleri: Lale Savaşçıları first published for the Amiga platform?,None of the above.,It was not published for the Amiga platform.,2005,1997,1994,E
2278,What is the approximate distance between Łomianki Dolne and Warsaw?,None of the above,Approximately 18 kilometers,Approximately 11 kilometers,Approximately 4 kilometers,Approximately 2 miles,B
2279,"What is the main specialization of InFiber AS, a Norwegian telecommunication company?",InFiber AS specializes in offering satellite television services.,InFiber AS specializes in developing and manufacturing fiber optic cables.,InFiber AS specializes in providing high-speed internet services to residential customers.,InFiber AS specializes in the construction and provision of dark fiber.,InFiber AS specializes in developing new encryption technologies for data security.,D
2280,What is the major tributary of the Thamirabarani River?,The Manimuthar River,The Periyar River,The Bharathapuzha River,The Palar River,The Vaigai River,A
2281,What is the significance of the genus Ischyropsalis in the study of harvestmen?,Ischyropsalis is the only genus of harvestmen that has adapted to survive in Europe's diverse ecosystems.,The genus Ischyropsalis is responsible for the majority of harvestmen species found in Europe.,"Ischyropsalis is a widely studied genus of harvestmen, with over 20 described species.",The Ischyropsalis genus is known for its distinctive behavior and mating rituals.,Ischyropsalis is a specialized genus of harvestmen with unique physical characteristics.,C
2282,What was the purpose of the Fiat 619 truck?,It was a multi-purpose truck primarily used for construction and infrastructure development.,It was a multi-purpose truck specifically designed for long-haul transportation.,It was a multi-purpose truck intended to replace the Fiat 682 in production.,It was a multi-purpose truck primarily used for military purposes.,It was a multi-purpose truck primarily used for transporting livestock and agricultural products.,C
